TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
140.0,140.0,0.2,0.1,0.9,0.4,5.047886656373307e-10,1.0922502737726862e-12,0.00768675680569734,8.445480103978962e-12,3.659753973698674e-14,0.00024155145136694797,2.5366264634098357e-10,1.4182507342360834e-12,0.0017422263048697069,2.426805391923681e-10,4.619632626193175e-12,0.005702979049460684
140.0,160.0,0.2,0.1,0.9,0.4,6.069018733143866e-10,1.313200518169028e-12,0.008475349886403914,8.382634024111993e-12,3.632520330650227e-14,0.00024482329213091914,3.1910030036669414e-10,1.7841185598988965e-12,0.0019463908257905578,2.7941893892358034e-10,5.318979638513363e-12,0.006284135768482437
140.0,180.0,0.2,0.1,0.9,0.4,6.403946812935264e-10,1.385671496966548e-12,0.008969889097521246,1.0312413701781818e-11,4.4687686856001946e-14,0.00026681564607328943,2.7699966411364447e-10,1.548730105433944e-12,0.0018224695404056234,3.530826034781e-10,6.721230800775947e-12,0.0068806039110423335
140.0,200.0,0.2,0.1,0.9,0.4,7.221127671500884e-10,1.5624912390190308e-12,0.009175484965441547,1.1528817719554411e-11,4.99588370841209e-14,0.00028363488317594633,3.55939688242787e-10,1.990090900161575e-12,0.002054105552392143,3.5464426118774686e-10,6.750958297387087e-12,0.00683774452987346
140.0,220.0,0.2,0.1,0.9,0.4,5.500480818482065e-10,1.1901815727742324e-12,0.008211965334732348,1.0738497721504145e-11,4.653407411298408e-14,0.00027493896574762116,2.553324550021768e-10,1.4275867850655288e-12,0.0017302193064698726,2.8397712912452566e-10,5.4057487063535716e-12,0.0062068070625148535
140.0,240.0,0.2,0.1,0.9,0.4,6.259091433920069e-10,1.3543280183670372e-12,0.008410748925585305,8.521862868705256e-12,3.692853587135386e-14,0.00024272480951897517,3.1262554622714626e-10,1.7479176255284966e-12,0.0019016326458735039,3.047617342961553e-10,5.801401528343112e-12,0.006266391470192826
140.0,260.0,0.2,0.1,0.9,0.4,4.005757630186762e-10,8.66756757050876e-13,0.007095352611540929,1.0216460941011079e-11,4.427188634117672e-14,0.00026482721000340283,1.7241678413860072e-10,9.639977908709798e-13,0.001432028545607079,2.179425179390644e-10,4.148723131474136e-12,0.005398496855930446
140.0,280.0,0.2,0.1,0.9,0.4,5.719109493654023e-10,1.2374879499904547e-12,0.008146251738020971,1.0808568864692127e-11,4.6837719544110025e-14,0.0002763851961182464,2.862613004572209e-10,1.6005127495637692e-12,0.001827894176990818,2.7484108004348923e-10,5.231836160462107e-12,0.006041972364911906
140.0,300.0,0.2,0.1,0.9,0.4,6.106855178663439e-10,1.321387482495012e-12,0.008412151802579778,8.851391609301603e-12,3.835651166787159e-14,0.0002486219369360362,2.907313428783268e-10,1.6255051599058023e-12,0.0018367319906647341,3.111027833787155e-10,5.922108847205903e-12,0.00632679787497901
140.0,320.0,0.2,0.1,0.9,0.4,5.205388337196673e-10,1.126330130494861e-12,0.007707557607959713,8.471754684634576e-12,3.671139768203873e-14,0.00024391628673718085,2.610362635827106e-10,1.4594772932817445e-12,0.0017416874765333369,2.510308154523221e-10,4.7785873111324235e-12,0.005721953844689196
