TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
90.0,280.0,0.2,0.1,0.9,0.4,1.8195577140067684e-9,4.038917139925729e-12,0.014400749921877455,2.128024279547794e-10,9.422411385832997e-13,0.0011411682181647394,5.585481598350736e-10,3.147140704488975e-12,0.0022658481575643036,1.0482071262169156e-9,2.221660371538277e-11,0.010993733546148413
90.0,300.0,0.2,0.1,0.9,0.4,1.7560487070270965e-9,3.897944630587174e-12,0.013965044839537718,2.1582800658779896e-10,9.556377181404439e-13,0.001153215250162292,4.733238820472727e-10,2.6669443437743306e-12,0.0020241698481205024,1.0668968183920246e-9,2.2612729132041082e-11,0.010787659741254922
90.0,320.0,0.2,0.1,0.9,0.4,1.7946229917605706e-9,3.983568921903181e-12,0.014095712075624604,2.1820104526529676e-10,9.66144998000347e-13,0.001160088370100987,4.877324304239584e-10,2.748129337924621e-12,0.0020699499072015216,1.0886895160713158e-9,2.3074622317195563e-11,0.010865673798322095
90.0,340.0,0.2,0.1,0.9,0.4,1.757244852782014e-9,3.90059974482411e-12,0.014154362769499508,2.1210723206284407e-10,9.39162968023635e-13,0.001143345509496531,4.713362061391033e-10,2.6557447799627174e-12,0.0020390603057661616,1.0738014145800668e-9,2.2759071084397484e-11,0.010971956954236816
90.0,360.0,0.2,0.1,0.9,0.4,1.8462285054713821e-9,4.09811895361517e-12,0.014714952441144267,2.1540960900531289e-10,9.537851480438943e-13,0.001152540507259878,4.748199902316637e-10,2.675374168280075e-12,0.002052943790616115,1.1559989062344059e-9,2.450123544562797e-11,0.011509468143268272
90.0,380.0,0.2,0.1,0.9,0.4,1.7240884641282016e-9,3.827001691076734e-12,0.01391227937505177,2.066494419332661e-10,9.149971047143355e-13,0.0011268325262619766,4.43449880392314e-10,2.498619222728273e-12,0.001959260606195437,1.0739891418026218e-9,2.27630499366737e-11,0.010826186242594358
90.0,400.0,0.2,0.1,0.9,0.4,1.8995165628310675e-9,4.216403768967049e-12,0.014866434627583192,2.0987415648298915e-10,9.292754131816752e-13,0.0011375503762809463,5.183157187992307e-10,2.92045093639048e-12,0.002152198391572678,1.171326687548848e-9,2.482610563090139e-11,0.011576685859729567
100.0,20.0,0.2,0.1,0.9,0.4,8.013559949809612e-9,1.7700624693706438e-11,0.02486426232754702,2.0183485427733074e-10,8.932872756440638e-13,0.0010877827621006658,6.007716874235313e-9,3.322409017682381e-11,0.008311649792411736,1.8040082212969687e-9,3.9254081425458374e-11,0.015464829773034617
100.0,40.0,0.2,0.1,0.9,0.4,4.955400206923127e-9,1.094565708863829e-11,0.016920326531707636,1.7763085299945585e-10,7.8616441800576e-13,0.0009986629610762216,4.164738420528475e-9,2.3031984985832592e-11,0.006785095357730139,6.130309333951981e-10,1.3339166580138629e-11,0.009136568212901272
100.0,60.0,0.2,0.1,0.9,0.4,2.1156610347717195e-9,4.673144294188817e-12,0.014145405811099793,1.9054569262060324e-10,8.433233360819355e-13,0.001041201944113925,1.2151684441101655e-9,6.7201678794634694e-12,0.003491821866151801,7.099468980409505e-10,1.5447996863016234e-11,0.009612382000834066
