Date,HIGH,CLOSE,LOW,OPEN
2018-04-04,2649.86,2644.69,2573.61,2584.04
2018-04-05,2672.08,2662.84,2649.58,2657.36
2018-04-06,2656.88,2604.47,2586.27,2645.82
2018-04-09,2653.55,2613.16,2610.79,2617.18
2018-04-10,2665.45,2656.87,2635.78,2638.41
2018-04-11,2661.43,2642.19,2639.25,2643.89
2018-04-12,2674.72,2663.99,2653.83,2653.83
2018-04-13,2680.26,2656.3,2645.05,2676.9
2018-04-16,2686.49,2677.84,2665.16,2670.1
2018-04-17,2713.34,2706.39,2692.05,2692.74
2018-04-18,2717.49,2708.64,2703.63,2710.11
2018-04-19,2702.84,2693.13,2681.9,2701.16
2018-04-20,2693.94,2670.14,2660.61,2692.56
2018-04-23,2682.86,2670.29,2657.99,2675.4
2018-04-24,2683.55,2634.56,2617.32,2680.8
2018-04-25,2645.3,2639.4,2612.67,2634.92
2018-04-26,2676.48,2666.94,2647.16,2651.65
2018-04-27,2677.35,2669.91,2659.01,2675.47
2018-04-30,2682.92,2648.05,2648.04,2675.05
2018-05-01,2655.27,2654.8,2625.41,2643.64
2018-05-02,2660.87,2635.67,2631.7,2654.24
2018-05-03,2637.14,2629.73,2594.62,2628.08
2018-05-04,2670.93,2663.42,2615.32,2621.45
2018-05-07,2683.35,2672.63,2664.7,2669.36
2018-05-08,2676.34,2671.92,2655.2,2670.26
2018-05-09,2701.27,2697.79,2674.14,2678.12
2018-05-10,2726.11,2723.07,2704.54,2705.02
2018-05-11,2732.86,2727.72,2717.45,2722.7
2018-05-14,2742.1,2730.13,2725.47,2733.37
2018-05-15,2718.59,2711.45,2701.91,2718.59
2018-05-16,2727.76,2722.46,2712.17,2712.62
2018-05-17,2731.96,2720.13,2711.36,2719.71
2018-05-18,2719.5,2712.97,2709.18,2717.35
2018-05-21,2739.19,2733.01,2725.7,2725.95
2018-05-22,2742.24,2724.44,2721.88,2738.34
2018-05-23,2733.33,2733.29,2709.54,2713.98
2018-05-24,2731.97,2727.76,2707.38,2730.94
2018-05-25,2727.36,2721.33,2714.99,2723.6
2018-05-29,2710.67,2689.86,2676.81,2705.11
2018-05-30,2729.34,2724.01,2702.43,2702.43
2018-05-31,2722.5,2705.27,2700.68,2720.98
2018-06-01,2736.93,2734.62,2718.7,2718.7
2018-06-04,2749.16,2746.87,2740.54,2741.67
2018-06-05,2752.61,2748.8,2739.51,2748.46
2018-06-06,2772.39,2772.35,2748.46,2753.25
2018-06-07,2779.9,2770.37,2760.16,2774.84
2018-06-08,2779.39,2779.03,2763.59,2765.84
2018-06-11,2790.21,2782.0,2780.17,2780.18
2018-06-12,2789.8,2786.85,2778.78,2785.6
2018-06-13,2791.47,2775.63,2774.65,2787.94
2018-06-14,2789.06,2782.49,2776.52,2783.21
2018-06-15,2782.81,2779.66,2761.73,2777.78
2018-06-18,2774.99,2773.75,2757.12,2765.79
2018-06-19,2765.05,2762.59,2743.19,2752.01
2018-06-20,2774.86,2767.32,2763.91,2769.73
2018-06-21,2769.28,2749.76,2744.39,2769.28
2018-06-22,2764.17,2754.88,2752.68,2760.79
2018-06-25,2742.94,2717.07,2698.67,2742.94
2018-06-26,2732.91,2723.06,2715.6,2722.12
2018-06-27,2746.09,2699.63,2699.38,2728.45
2018-06-28,2724.34,2716.31,2691.99,2698.69
2018-06-29,2743.26,2718.37,2718.03,2727.13
2018-07-02,2727.26,2726.71,2698.95,2704.95
2018-07-03,2736.58,2713.22,2711.16,2733.27
2018-07-05,2737.83,2736.61,2716.02,2724.19
2018-07-06,2764.41,2759.82,2733.52,2737.68
2018-07-09,2784.65,2784.17,2768.51,2768.51
2018-07-10,2795.58,2793.84,2786.24,2788.56
2018-07-11,2785.91,2774.02,2770.77,2779.82
2018-07-12,2799.22,2798.29,2781.53,2783.14
2018-07-13,2804.53,2801.31,2791.69,2796.93
2018-07-16,2803.71,2798.43,2793.39,2801.43
2018-07-17,2814.19,2809.55,2789.24,2789.34
2018-07-18,2816.76,2815.62,2805.89,2811.35
2018-07-19,2812.05,2804.49,2799.77,2809.37
2018-07-20,2809.7,2801.83,2800.01,2804.55
2018-07-23,2808.61,2806.98,2795.14,2799.17
2018-07-24,2829.99,2820.4,2811.12,2820.68
2018-07-25,2848.03,2846.07,2817.73,2817.73
2018-07-26,2845.57,2837.44,2835.26,2835.49
2018-07-27,2843.17,2818.82,2808.34,2842.35
2018-07-30,2821.74,2802.6,2798.11,2819.0
2018-07-31,2824.46,2816.29,2808.06,2809.73
2018-08-01,2825.83,2813.36,2805.85,2821.17
2018-08-02,2829.91,2827.22,2796.34,2800.48
2018-08-03,2840.38,2840.35,2827.37,2829.62
2018-08-06,2853.29,2850.4,2835.98,2840.29
2018-08-07,2863.43,2858.45,2855.92,2855.92
2018-08-08,2862.44,2857.7,2853.09,2856.79
2018-08-09,2862.48,2853.58,2851.98,2857.19
2018-08-10,2842.2,2833.28,2825.81,2839.64
2018-08-13,2843.4,2821.93,2819.88,2835.46
2018-08-14,2843.11,2839.96,2826.58,2827.88
2018-08-15,2827.95,2818.37,2802.49,2827.95
2018-08-16,2850.49,2840.69,2831.44,2831.44
2018-08-17,2855.63,2850.13,2833.73,2838.32
2018-08-20,2859.76,2857.05,2850.62,2853.93
2018-08-21,2873.23,2862.96,2861.32,2861.51
2018-08-22,2867.54,2861.82,2856.05,2860.99
2018-08-23,2868.78,2856.98,2854.03,2860.29
2018-08-24,2876.16,2874.69,2862.35,2862.35
2018-08-27,2898.25,2896.74,2884.69,2884.69
2018-08-28,2903.77,2897.52,2893.5,2901.45
2018-08-29,2916.5,2914.04,2898.4,2900.62
2018-08-30,2912.46,2901.13,2895.22,2908.94
2018-08-31,2906.32,2901.52,2891.73,2898.37
2018-09-04,2900.18,2896.72,2885.13,2896.96
2018-09-05,2894.21,2888.6,2876.92,2891.59
2018-09-06,2892.05,2878.05,2867.29,2888.64
2018-09-07,2883.81,2871.68,2864.12,2868.26
2018-09-10,2886.93,2877.13,2875.94,2881.39
2018-09-11,2892.52,2887.89,2866.78,2871.57
2018-09-12,2894.65,2888.92,2879.2,2888.29
2018-09-13,2906.76,2904.18,2896.39,2896.85
2018-09-14,2908.3,2904.98,2895.77,2906.38
2018-09-17,2904.65,2888.8,2886.16,2903.83
2018-09-18,2911.17,2904.31,2890.43,2890.74
2018-09-19,2912.36,2907.95,2903.82,2906.6
2018-09-20,2934.8,2930.75,2919.73,2919.73
2018-09-21,2940.91,2929.67,2927.11,2936.76
2018-09-24,2923.79,2919.37,2912.63,2921.83
2018-09-25,2923.95,2915.56,2913.7,2921.75
2018-09-26,2931.15,2905.97,2903.28,2916.98
2018-09-27,2927.22,2914.0,2909.27,2911.65
2018-09-28,2920.53,2913.98,2907.5,2910.03
2018-10-01,2937.06,2924.59,2917.91,2926.29
2018-10-02,2931.42,2923.43,2919.37,2923.8
2018-10-03,2939.86,2925.51,2921.36,2931.69
2018-10-04,2919.78,2901.61,2883.92,2919.35
2018-10-05,2909.64,2885.57,2869.29,2902.54
2018-10-08,2889.45,2884.43,2862.08,2877.53
2018-10-09,2894.83,2880.34,2874.27,2882.51
2018-10-10,2874.02,2785.68,2784.86,2873.9
2018-10-11,2795.14,2728.37,2710.51,2776.87
2018-10-12,2775.77,2767.13,2729.44,2770.54
2018-10-15,2775.99,2750.79,2749.03,2763.83
2018-10-16,2813.46,2809.92,2766.91,2767.05
2018-10-17,2816.94,2809.21,2781.81,2811.67
2018-10-18,2806.04,2768.78,2755.18,2802.0
2018-10-19,2797.77,2767.78,2760.27,2775.66
2018-10-22,2778.94,2755.88,2749.22,2773.94
2018-10-23,2753.59,2740.69,2691.43,2721.03
2018-10-24,2742.59,2656.1,2651.89,2737.87
2018-10-25,2722.7,2705.57,2667.84,2674.88
2018-10-26,2692.38,2658.69,2628.16,2667.86
