Date,CLOSE,VOLUME,HIGH,LOW,OPEN
2020-06-24,0.082,1526014.0,,,
2020-06-25,0.082,672154.0,,,
2020-06-26,0.081,449548.0,,,
2020-06-27,0.078,585779.0,,,
2020-06-28,0.08,724682.0,,,
2020-06-29,0.084,1680366.0,,,
2020-06-30,0.083,929113.0,,,
2020-07-01,0.093,3513283.0,,,
2020-07-02,0.095,3886219.0,,,
2020-07-03,0.099,4203213.0,,,
2020-07-04,0.098,1473592.0,,,
2020-07-05,0.097,1787028.0,,,
2020-07-06,0.103,2868914.0,,,
2020-07-07,0.114,4626001.0,,,
2020-07-08,0.13,10090909.0,,,
2020-07-09,0.124,4911908.0,,,
2020-07-10,0.117,4227016.0,,,
2020-07-11,0.126,2416308.0,,,
2020-07-12,0.123,3115033.0,,,
2020-07-13,0.129,4746316.0,,,
2020-07-14,0.132,4506460.0,,,
2020-07-15,0.13,2573849.0,,,
2020-07-16,0.125,4935049.0,,,
2020-07-17,0.123,1619708.0,,,
2020-07-18,0.124,2020415.0,,,
2020-07-19,0.124,936986.0,,,
2020-07-20,0.119,1270463.0,,,
2020-07-21,0.123,1660273.0,,,
2020-07-22,0.122,639724.0,,,
2020-07-23,0.124,1894800.0,,,
2020-07-24,0.122,1254900.0,,,
2020-07-25,0.138,5582919.0,,,
2020-07-26,0.149,8700831.0,,,
2020-07-27,0.137,6995965.0,,,
2020-07-28,0.148,3814366.0,,,
2020-07-29,0.142,3118429.0,,,
2020-07-30,0.14,2080280.0,,,
2020-07-31,0.14,1716521.0,,,
2021-03-29,1.198,24689016.0,,,
2021-03-30,1.209,22273885.0,,,
2021-03-31,1.198,27147011.0,,,
2021-04-01,1.189,24825225.0,,,
2021-04-02,1.19,30040745.0,,,
2021-04-03,1.169,30629047.0,,,
2021-04-04,1.18,14658188.0,,,
2021-04-05,1.202,31377559.0,,,
2021-04-06,1.24,70086022.0,,,
2021-04-07,1.244,2614979.0,,,
2021-04-08,1.209,17014402.0,,,
2021-04-09,1.208,13908546.0,,,
2021-04-10,1.21,27303266.0,,,
2021-04-11,1.272,41585206.0,,,
2021-04-12,1.299,54857955.0,,,
2021-04-13,1.396,67463744.0,,,
2021-04-14,1.453,157611400.0,,,
2021-04-15,1.489,47494994.0,,,
